"","Gender","Age","EstimatedSalary","Purchased"
"1","1",19,19000,"0"
"2","0",26,43000,"0"
"3","0",27,57000,"0"
"4","1",27,58000,"0"
"5","0",27,84000,"0"
"6","0",32,150000,"1"
"7","1",25,33000,"0"
"8","0",35,65000,"0"
"9","0",26,80000,"0"
"10","0",26,52000,"0"
"11","1",20,86000,"0"
"12","1",32,18000,"0"
"13","1",18,82000,"0"
"14","1",29,80000,"0"
"15","1",47,25000,"1"
"16","1",45,26000,"1"
"17","1",46,28000,"1"
"18","0",48,29000,"1"
"19","1",45,22000,"1"
"20","0",47,49000,"1"
"21","1",48,41000,"1"
"22","0",45,22000,"1"
"23","1",46,23000,"1"
"24","1",47,20000,"1"
"25","0",47,30000,"1"
"26","1",29,43000,"0"
"27","1",31,18000,"0"
"28","1",31,74000,"0"
"29","0",27,137000,"1"
"30","0",21,16000,"0"
"31","1",27,90000,"0"
"32","1",35,27000,"0"
"33","0",33,28000,"0"
"34","1",30,49000,"0"
"35","0",26,72000,"0"
"36","0",33,51000,"0"
"37","0",28,84000,"0"
"38","1",23,20000,"0"
"39","1",30,135000,"1"
"40","0",24,32000,"0"
"41","0",29,83000,"0"
"42","0",35,23000,"0"
"43","0",27,58000,"0"
"44","0",24,55000,"0"
"45","1",22,18000,"0"
"46","1",25,87000,"0"
"47","0",23,66000,"0"
"48","1",32,120000,"1"
"49","0",59,83000,"0"
"50","1",24,58000,"0"
"51","1",24,19000,"0"
"52","0",23,82000,"0"
"53","0",22,63000,"0"
"54","0",31,68000,"0"
"55","0",24,27000,"0"
"56","0",20,23000,"0"
"57","1",32,18000,"0"
"58","1",34,112000,"1"
"59","1",18,52000,"0"
"60","0",28,87000,"0"
"61","0",26,17000,"0"
"62","1",30,80000,"0"
"63","1",39,42000,"0"
"64","1",20,49000,"0"
"65","1",35,88000,"0"
"66","0",31,118000,"1"
"67","1",24,55000,"0"
"68","0",28,85000,"0"
"69","1",35,50000,"0"
"70","1",22,81000,"0"
"71","0",30,116000,"0"
"72","0",29,28000,"0"
"73","0",35,44000,"0"
"74","0",35,25000,"0"
"75","1",28,123000,"1"
"76","1",35,73000,"0"
"77","1",28,59000,"0"
"78","0",32,86000,"0"
"79","0",33,149000,"1"
"80","0",19,21000,"0"
"81","0",26,35000,"0"
"82","1",26,86000,"0"
"83","0",38,80000,"0"
"84","0",39,71000,"0"
"85","0",37,71000,"0"
"86","1",38,61000,"0"
"87","1",42,80000,"0"
"88","1",40,57000,"0"
"89","1",35,75000,"0"
"90","1",36,52000,"0"
"91","1",40,59000,"0"
"92","1",41,59000,"0"
"93","1",37,72000,"0"
"94","0",40,75000,"0"
"95","1",35,53000,"0"
"96","0",41,51000,"0"
"97","0",39,61000,"0"
"98","1",42,65000,"0"
"99","1",26,32000,"0"
"100","1",30,17000,"0"
"101","1",31,58000,"0"
"102","1",30,87000,"0"
"103","0",21,68000,"0"
"104","1",23,63000,"0"
"105","0",20,82000,"0"
"106","1",30,107000,"1"
"107","0",28,59000,"0"
"108","1",19,25000,"0"
"109","0",18,68000,"0"
"110","1",35,59000,"0"
"111","0",34,25000,"0"
"112","0",24,89000,"0"
"113","0",41,30000,"0"
"114","0",26,15000,"0"
"115","1",41,45000,"0"
"116","1",31,76000,"0"
"117","0",36,50000,"0"
"118","1",40,47000,"0"
"119","0",31,15000,"0"
"120","1",29,75000,"0"
"121","0",32,135000,"1"
"122","1",32,100000,"1"
"123","1",25,90000,"0"
"124","0",37,33000,"0"
"125","0",33,69000,"0"
"126","0",18,86000,"0"
"127","0",35,71000,"0"
"128","0",29,47000,"0"
"129","1",21,88000,"0"
"130","1",34,115000,"0"
"131","0",34,43000,"0"
"132","0",34,72000,"0"
"133","0",23,28000,"0"
"134","0",35,47000,"0"
"135","1",25,22000,"0"
"136","1",24,23000,"0"
"137","0",31,34000,"0"
"138","1",26,16000,"0"
"139","0",32,117000,"1"
"140","1",33,43000,"0"
"141","0",20,82000,"0"
"142","0",33,41000,"0"
"143","1",35,72000,"0"
"144","1",28,32000,"0"
"145","1",24,84000,"0"
"146","0",19,26000,"0"
"147","1",19,70000,"0"
"148","1",28,89000,"0"
"149","1",34,43000,"0"
"150","0",30,79000,"0"
"151","0",20,36000,"0"
"152","1",26,80000,"0"
"153","1",35,22000,"0"
"154","1",35,39000,"0"
"155","1",49,74000,"0"
"156","0",39,134000,"1"
"157","0",58,101000,"1"
"158","0",55,130000,"1"
"159","0",46,22000,"0"
"160","0",48,96000,"1"
"161","1",52,150000,"1"
"162","0",59,42000,"0"
"163","1",35,58000,"0"
"164","1",47,43000,"0"
"165","1",49,65000,"0"
"166","1",40,78000,"0"
"167","0",46,96000,"0"
"168","1",59,143000,"1"
"169","1",35,91000,"1"
"170","1",37,144000,"1"
"171","1",60,102000,"1"
"172","0",35,60000,"0"
"173","1",37,53000,"0"
"174","1",56,133000,"1"
"175","0",40,72000,"0"
"176","0",42,80000,"1"
"177","1",39,42000,"0"
"178","1",49,86000,"1"
"179","0",38,112000,"0"
"180","1",46,79000,"1"
"181","1",40,57000,"0"
"182","0",46,82000,"0"
"183","1",42,149000,"1"
"184","1",38,59000,"0"
"185","0",41,72000,"0"
"186","0",51,146000,"1"
"187","0",35,50000,"0"
"188","1",41,52000,"0"
"189","1",37,52000,"0"
"190","0",37,146000,"1"
"191","0",50,44000,"0"
"192","0",52,90000,"1"
"193","0",41,72000,"0"
"194","0",58,95000,"1"
"195","1",36,144000,"1"
"196","0",55,125000,"1"
"197","1",48,90000,"1"
"198","1",40,75000,"0"
"199","1",37,74000,"0"
"200","0",47,144000,"1"
"201","1",40,61000,"0"
"202","0",43,133000,"0"
"203","0",59,76000,"1"
"204","1",39,106000,"1"
"205","0",57,26000,"1"
"206","1",57,74000,"1"
"207","1",38,71000,"0"
"208","0",52,38000,"1"
"209","0",59,88000,"1"
"210","1",35,61000,"0"
"211","0",52,21000,"1"
"212","1",48,141000,"0"
"213","0",37,93000,"1"
"214","0",37,62000,"0"
"215","1",41,79000,"0"
"216","0",37,78000,"1"
"217","1",39,134000,"1"
"218","1",49,89000,"1"
"219","1",55,39000,"1"
"220","0",35,57000,"0"
"221","0",36,63000,"0"
"222","1",42,73000,"1"
"223","0",43,112000,"1"
"224","1",45,79000,"0"
"225","1",46,117000,"1"
"226","0",58,38000,"1"
"227","1",48,74000,"1"
"228","0",37,137000,"1"
"229","1",37,79000,"1"
"230","0",40,60000,"0"
"231","0",51,134000,"0"
"232","0",47,113000,"1"
"233","1",36,125000,"1"
"234","0",38,50000,"0"
"235","0",42,70000,"0"
"236","1",39,96000,"1"
"237","0",38,50000,"0"
"238","0",39,79000,"0"
"239","0",39,75000,"1"
"240","0",54,104000,"1"
"241","1",35,55000,"0"
"242","1",45,32000,"1"
"243","1",36,60000,"0"
"244","0",53,82000,"1"
"245","1",41,52000,"0"
"246","0",48,30000,"1"
"247","0",48,131000,"1"
"248","0",41,60000,"0"
"249","1",41,72000,"0"
"250","0",47,107000,"1"
"251","1",38,51000,"0"
"252","0",48,119000,"1"
"253","1",40,65000,"0"
"254","0",36,54000,"0"
"255","1",58,144000,"1"
"256","1",35,79000,"0"
"257","1",39,122000,"1"
"258","0",53,104000,"1"
"259","0",38,65000,"0"
"260","0",47,51000,"1"
"261","1",47,105000,"1"
"262","0",41,63000,"0"
"263","1",53,72000,"1"
"264","1",39,77000,"0"
"265","1",38,61000,"0"
"266","1",37,75000,"0"
"267","0",42,90000,"1"
"268","0",37,57000,"0"
"269","1",36,99000,"1"
"270","1",60,34000,"1"
"271","0",41,72000,"0"
"272","1",40,71000,"1"
"273","1",42,54000,"0"
"274","1",43,129000,"1"
"275","1",42,104000,"1"
"276","0",58,47000,"1"
"277","1",46,88000,"1"
"278","0",54,26000,"1"
"279","0",60,46000,"1"
"280","0",39,73000,"0"
"281","1",59,130000,"1"
"282","0",46,32000,"1"
"283","0",46,74000,"0"
"284","1",41,87000,"1"
"285","0",58,23000,"1"
"286","1",42,64000,"0"
"287","1",48,33000,"1"
"288","0",44,139000,"1"
"289","1",49,28000,"1"
"290","0",49,39000,"1"
"291","1",39,71000,"0"
"292","1",47,34000,"1"
"293","0",48,35000,"1"
"294","1",47,23000,"1"
"295","0",45,45000,"1"
"296","1",60,42000,"1"
"297","0",46,41000,"1"
"298","1",51,23000,"1"
"299","0",50,20000,"1"
"300","0",49,36000,"1"
